Symbol,Date,Expiry,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in ₹ Lakhs,Open Int,Change in OI,Underlying Value
HDFCBANK,30-01-2026,30-03-2026,943.15,947.5,938.6,939.9,940,939.9,935,4845.01,24852300,13200,929.25
HDFCBANK,29-01-2026,30-03-2026,938.95,948.95,935.9,946.65,946.9,946.65,1702,8827.69,24839100,13200,935.5
HDFCBANK,28-01-2026,30-03-2026,941.95,950.7,937.85,942.25,942,942.25,1881,9765.39,24825900,319550,932.7
HDFCBANK,27-01-2026,30-03-2026,926,942.95,917.45,938.6,939.4,938.6,2703,13810.42,24506350,507100,926.4
HDFCBANK,23-01-2026,30-03-2026,929.9,937.25,921.35,927.6,926.3,927.6,1194,6098.42,23999250,232650,916.1
HDFCBANK,22-01-2026,30-03-2026,940,940,926.45,932.85,934.55,932.85,5774,29535.3,23766600,2961200,918.7
HDFCBANK,21-01-2026,30-03-2026,942.35,944.8,928,933.35,934.35,933.35,1320,6798.15,20805400,383350,920.35
HDFCBANK,20-01-2026,30-03-2026,937.3,946.4,931.35,942.5,942.5,942.5,12694,65818,20422050,6695150,931.2
HDFCBANK,19-01-2026,30-03-2026,947.1,948.35,930.3,939.65,937.8,939.65,2126,10985.34,13726900,1053800,927.9
HDFCBANK,16-01-2026,30-03-2026,935.9,950.3,935.9,945.4,943.75,945.4,977,5077.5,12673100,304150,931.1
HDFCBANK,14-01-2026,30-03-2026,948,954.15,935.1,939.9,940.05,939.9,801,4160.87,12368950,286550,925.45
HDFCBANK,13-01-2026,30-03-2026,958.25,961,948.5,950.95,950.75,950.95,10689,56092.22,12082400,5732650,937.35
HDFCBANK,12-01-2026,30-03-2026,954,957.6,944.6,953.35,952,953.35,4229,22143.93,6349750,2196700,936.95
HDFCBANK,09-01-2026,30-03-2026,962.8,962.8,948.7,954.5,954.4,954.5,3508,18421.24,4153050,1674200,939
HDFCBANK,08-01-2026,30-03-2026,962.4,967.3,957.7,962.45,962.8,962.45,972,5147.82,2478850,390500,946.7
HDFCBANK,07-01-2026,30-03-2026,967,971.45,962.35,963.8,964,963.8,2970,15769.67,2088350,1323300,949.05
HDFCBANK,06-01-2026,30-03-2026,980,985.25,974.95,978.9,979,978.9,625,3368.01,765050,224950,962.2
HDFCBANK,05-01-2026,30-03-2026,1014,1014,991.05,992.05,992.8,992.05,750,4128.06,540100,311850,977.5
HDFCBANK,02-01-2026,30-03-2026,1013.5,1019.1,1012.05,1017.05,1017.4,1017.05,180,1005.37,228250,14300,1001.6
HDFCBANK,01-01-2026,30-03-2026,1012.55,1014,1006.65,1007.4,1007.3,1007.4,384,2131.48,213950,188650,991.15
